,open,high,low,close,volume
2022-04-14 11:30:00-04:00,342.80999755859375,342.92999267578125,340.5400085449219,340.67999267578125,6223142
2022-04-14 12:30:00-04:00,340.6300048828125,340.8999938964844,340.0299987792969,340.44000244140625,6968220
2022-04-14 13:30:00-04:00,340.4599914550781,342.17999267578125,340.3500061035156,341.125,8078568
2022-04-14 14:30:00-04:00,341.14990234375,341.3699951171875,339.2699890136719,339.55999755859375,7199614
2022-04-14 15:30:00-04:00,339.32000732421875,339.44000244140625,338.2099914550781,338.42999267578125,9402829
2022-04-14 16:00:00-04:00,338.42,338.53,338.01,338.405,0
2022-04-14 17:00:00-04:00,338.42,338.5,338.22,338.42,0
2022-04-14 18:00:00-04:00,338.43,339.5599,338.18,338.28,0
2022-04-14 19:00:00-04:00,338.25,338.38,337.85,337.91,0
2022-04-18 04:00:00-04:00,336.0,337.02,335.06,336.81,0
2022-04-18 05:00:00-04:00,336.88,336.92,335.64,335.86,0
2022-04-18 06:00:00-04:00,335.88,336.7,335.88,336.67,0
2022-04-18 07:00:00-04:00,336.68,337.79,336.45,337.47,0
2022-04-18 08:00:00-04:00,337.47,337.78,335.05,336.92,0
2022-04-18 09:00:00-04:00,336.92,338.43,336.78,337.74,0
2022-04-18 09:30:00-04:00,337.3500061035156,341.0400085449219,336.79998779296875,340.510009765625,15960505
2022-04-18 10:30:00-04:00,340.489990234375,340.8999938964844,337.70001220703125,337.9700012207031,7213406
2022-04-18 11:30:00-04:00,337.9599914550781,338.1099853515625,335.8550109863281,335.94000244140625,6767345
2022-04-18 12:30:00-04:00,335.92999267578125,337.69000244140625,335.7909851074219,337.5400085449219,5073108
2022-04-18 13:30:00-04:00,337.5400085449219,340.8699951171875,337.42999267578125,340.19000244140625,8621130
2022-04-18 14:30:00-04:00,340.17999267578125,340.69500732421875,338.30999755859375,338.364990234375,5405212
2022-04-18 15:30:00-04:00,338.3500061035156,338.95001220703125,336.7200012207031,338.95001220703125,6110738
2022-04-18 16:00:00-04:00,338.96,340.72,338.69,340.09,0
2022-04-18 17:00:00-04:00,340.17,340.42,338.69,340.33,0
2022-04-18 18:00:00-04:00,340.21,340.69,338.59,340.36,0
2022-04-18 19:00:00-04:00,340.4,341.45,340.18,341.4,0
2022-04-19 04:00:00-04:00,340.46,340.46,339.64,340.09,0
2022-04-19 05:00:00-04:00,340.04,340.07,337.04,337.28,0
2022-04-19 06:00:00-04:00,337.12,338.28,336.87,338.11,0
2022-04-19 07:00:00-04:00,338.07,338.91,337.9,338.51,0
2022-04-19 08:00:00-04:00,338.52,341.33,336.9296,339.25,0
2022-04-19 09:00:00-04:00,339.24,339.57,337.32,338.09,0
2022-04-19 09:30:00-04:00,338.0299987792969,343.3800048828125,336.9800109863281,342.9949951171875,15972477
2022-04-19 10:30:00-04:00,342.9849853515625,345.1400146484375,342.94000244140625,345.05999755859375,6484950
2022-04-19 11:30:00-04:00,345.04998779296875,345.75,344.57501220703125,344.6499938964844,5318417
2022-04-19 12:30:00-04:00,344.6600036621094,345.1300048828125,344.0199890136719,344.04998779296875,3932143
2022-04-19 13:30:00-04:00,344.04998779296875,345.1000061035156,343.4800109863281,344.1000061035156,5164634
2022-04-19 14:30:00-04:00,344.1199951171875,346.5299987792969,343.82000732421875,346.2900085449219,5599653
2022-04-19 15:30:00-04:00,346.29998779296875,346.8500061035156,345.3500061035156,346.1300048828125,9264246
2022-04-19 16:00:00-04:00,346.19,346.26,338.8628,343.25,0
2022-04-19 17:00:00-04:00,343.33,346.26,324.96518,342.98,0
2022-04-19 18:00:00-04:00,343.04,343.8,342.0999,343.26,0
2022-04-19 19:00:00-04:00,343.32,343.385,342.6,342.89,0
2022-04-20 04:00:00-04:00,343.06,343.9,343.03,343.8,0
2022-04-20 05:00:00-04:00,343.79,345.75,343.68,345.53,0
2022-04-20 06:00:00-04:00,345.5,346.19,345.4,345.98,0
2022-04-20 07:00:00-04:00,345.98,346.2,345.49,345.82,0
2022-04-20 08:00:00-04:00,345.83,348.21,342.51,347.94,0
2022-04-20 09:00:00-04:00,347.952,348.09,346.26,347.07,0
2022-04-20 09:30:00-04:00,347.3299865722656,347.55999755859375,341.8999938964844,343.6400146484375,19000076
2022-04-20 10:30:00-04:00,343.6499938964844,344.5799865722656,341.6499938964844,342.0299987792969,9152257
2022-04-20 11:30:00-04:00,342.0799865722656,343.1000061035156,340.5007019042969,341.010009765625,6838649
2022-04-20 12:30:00-04:00,340.989990234375,343.32000732421875,340.8900146484375,342.7300109863281,6120803
2022-04-20 13:30:00-04:00,342.7099914550781,343.7900085449219,341.6499938964844,341.68328857421875,4633999
2022-04-20 14:30:00-04:00,341.7099914550781,342.1400146484375,339.9599914550781,341.70001220703125,6902515
2022-04-20 15:30:00-04:00,341.70001220703125,342.8299865722656,340.739990234375,341.04998779296875,9109435
2022-04-20 16:00:00-04:00,341.21,343.2,340.75,342.65,0
2022-04-20 17:00:00-04:00,342.75,343.1,341.21,342.65,0
2022-04-20 18:00:00-04:00,342.65,343.18,340.25,342.7,0
2022-04-20 19:00:00-04:00,342.72,343.1501,342.62,343.05,0
2022-04-21 04:00:00-04:00,343.76,345.23,343.76,344.87,0
